127.0.0.1 - - [27/Apr/2017:11:25:52 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/studentCompetition.jsp HTTP/1.1" 200 5805
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/javascripts/competition.js HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/javascripts/jquery.jqplot.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/competitionServlet?_=1493272991514 HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:03:11 +0800] "GET /graduation_project1/competitionServlet?pageIndex=0&pageSize=10&_=1493272991582 HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:18 +0800] "GET /graduation_project1/studentChair.jsp HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:18 +0800] "GET /graduation_project1/javascripts/chair.js HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:18 +0800] "GET /graduation_project1/ChairServlet?_=1493273058852 HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:19 +0800] "GET /graduation_project1/ChairServlet?pageIndex=0&pageSize=10&_=1493273058963 HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:55 +0800] "GET /graduation_project1/studentTeacherProject.jsp HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:55 +0800] "GET /graduation_project1/javascripts/teacherProject.js HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:55 +0800] "GET /graduation_project1/javascripts/jquery.jqplot.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:55 +0800] "GET /graduation_project1/TeacherProjectServlet?_=1493273095133 HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:04:55 +0800] "GET /graduation_project1/TeacherProjectServlet?pageIndex=0&pageSize=10&_=1493273095216 HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:05:58 +0800] "GET /graduation_project1/studenthelp.jsp HTTP/1.1" 200 6356
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:05:58 +0800] "GET /graduation_project1/javascripts/studenthelp.js HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:05:58 +0800] "GET /graduation_project1/StudentHelpServlet?_=1493273158886 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:05:59 +0800] "GET /graduation_project1/StudentHelpServlet?pageIndex=0&pageSize=10&_=1493273158950 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:06:41 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:06:41 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:20 +0800] "GET /graduation_project1/Home?username=zhaoliu&password=12345 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:22 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:22 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:27 +0800] "GET /graduation_project1/Home?username=zhaoliu&password=111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:27 +0800] "GET /graduation_project1/teacherIndex.jsp HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:27 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/teacherVolunteerActivityManage.jsp HTTP/1.1" 200 9272
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
