127.0.0.1 - - [21/Apr/2017:11:22:12 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/studentChair.jsp HTTP/1.1" 200 6480
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/javascripts/panigate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/lib/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/stylesheets/panigate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/stylesheets/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/lib/jquery-1.8.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/javascripts/graphDemo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/lib/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/lib/jqplot/jquery.jqplot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:13 +0800] "GET /graduation_project1/javascripts/chair.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:14 +0800] "GET /graduation_project1/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:15 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:15 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:15 +0800] "GET /graduation_project1/images/furley_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/Home?username=lisi&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/studentIndex.jsp HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/javascripts/graphDemo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/lib/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/lib/jqplot/jquery.jqplot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:25 +0800] "GET /graduation_project1/lib/font-awesome/font/fontawesome-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:27 +0800] "GET /graduation_project1/studentVolunteerActivity.jsp HTTP/1.1" 200 6097
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:27 +0800] "GET /graduation_project1/javascripts/volunteerActivity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:27 +0800] "GET /graduation_project1/VolunteerActivityServlet?_=1492744947525 HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [21/Apr/2017:11:22:27 +0800] "GET /graduation_project1/VolunteerActivityServlet?pageIndex=0&pageSize=10&_=1492744947659 HTTP/1.1" 200 1714
